,Дата,Сидячий,Купе,Плацкартный,СВ
0,2023-07-20,1238.0,1855.0,2142.0,6020.0
1,2023-07-21,1238.0,1447.0,2142.0,6269.0
2,2023-07-22,1238.0,1855.0,2142.0,6373.0
3,2023-07-23,1238.0,1196.0,2142.0,6682.0
4,2023-07-24,1238.0,1855.0,2142.0,5821.0
5,2023-07-25,1238.0,1243.0,2142.0,5275.0
6,2023-07-26,1238.0,1692.0,2142.0,5821.0
7,2023-07-27,1238.0,1196.0,2142.0,6737.0
8,2023-07-28,1238.0,1533.0,2142.0,7223.0
9,2023-07-29,1238.0,1353.0,2142.0,6202.0
10,2023-07-30,1238.0,1533.0,2142.0,6649.0
11,2023-07-31,1238.0,1243.0,2142.0,5821.0
12,2023-01-08,1238.0,1533.0,2142.0,5821.0
13,2023-02-08,1238.0,1243.0,2142.0,5821.0
14,2023-03-08,1238.0,1855.0,2142.0,6737.0
15,2023-04-08,1238.0,1447.0,2142.0,6269.0
16,2023-05-08,1238.0,1533.0,2142.0,5772.0
17,2023-06-08,1238.0,1196.0,2142.0,6020.0
18,2023-07-08,1238.0,1533.0,2142.0,5275.0
19,2023-08-08,1238.0,1243.0,2142.0,5275.0
